Duration,Start date,End date,Start station #,Start station,Start Station Lat,Start Station Lng,End station #,End station,LATITUDE,LONGITUDE,Bike number,Member type,LOCKED
380,1/2/11 17:31,1/2/11 16:59,31603,Park Rd & Holmead Pl NW,38.9308,-77.0315,31613,Adams Mill & Columbia Rd NW,38.9249,-77.0222,W01024,Member,NO
,,,,,,,31613,13th & H St NE,38.884,-76.995397,,,
938,1/4/11 10:41,1/4/11 10:00,31116,Good Hope & Naylor Rd SE,38.860227,-76.966572,31614,15th & P St NW,38.884,-76.995397,W00256,Member,NO
,,,,,,,31614,19th & L St NW,38.9057,-77.0056,,,
600,1/4/11 10:00,1/4/11 9:17,31506,Adams Mill & Columbia Rd NW,38.922925,-77.042581,31615,Georgia Ave and Fairmont St NW,38.898385,-77.031666,W00460,Member,NO
,,,,,,,31615,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.9154,-77.0446,,,
466,1/3/11 8:57,1/3/11 7:51,31601,Eckington Pl & Q St NE,38.910972,-77.00495,31616,1st & M St NE,38.900283,-77.029822,W01068,Member,NO
,,,,,,,31616,14th & G St NW,38.9154,-77.0446,,,
1199,1/3/11 9:44,1/3/11 9:37,31012,Georgia & New Hampshire Ave NW,38.936043,-77.024649,31617,20th St & Florida Ave NW,38.90985,-77.034438,w00059,Member,NO
,,,,,,,31617,13th St & New York Ave NW,38.899408,-77.015289,,,
3300,1/2/11 10:34,1/1/11 23:35,31237,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806,31618,20th St & Florida Ave NW,38.8803,-76.9862,W01101,Member,NO
,,,,,,,31618,15th & P St NW,38.898385,-77.031666,,,
89,1/1/11 2:06,1/1/11 2:07,31111,10th & U St NW,38.9172,-77.0259,31619,3rd & H St NW,38.9172,-77.0259,W00357,Member,NO
,,,,,,,31619,Potomac & Pennsylvania Ave SE,38.9249,-77.0222,,,
248,1/2/11 12:23,1/2/11 12:23,31602,Georgia & New Hampshire Ave NW,38.936043,-77.024649,31620,14th & G St NW,38.9308,-77.0315,W00490,Member,NO
,,,,,,,31620,10th & U St NW,38.922925,-77.042581,,,
249,1/3/11 23:50,1/3/11 20:24,31706,Adams Mill & Columbia Rd NW,38.922925,-77.042581,31621,Georgia Ave and Fairmont St NW,38.905737,-77.02227,W00710,Member,NO
,,,,,,,31621,Park Rd & Holmead Pl NW,38.91554,-77.03818,,,
326,1/1/11 15:11,1/1/11 15:04,31224,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,31622,Adams Mill & Columbia Rd NW,38.9154,-77.0446,W00437,Member,NO
,,,,,,,31622,Convention Center / 7th & M St NW,38.848466,-77.051514,,,
533,1/2/11 11:14,1/2/11 11:12,31212,14th & D St SE,38.882915,-76.987907,31623,New Hampshire Ave & T St NW,38.898385,-77.031666,W00529,Member,NO
,,,,,,,31623,20th St & Florida Ave NW,38.926088,-77.036536,,,
1299,1/2/11 17:53,1/2/11 17:31,31225,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,31624,14th & G St NW,38.889955,-77.000349,W00470,Member,NO
,,,,,,,31624,16th & Harvard St NW,38.929464,-77.027822,,,
378,1/4/11 9:51,1/4/11 9:01,31020,4th & East Capitol St NE,38.889955,-77.000349,31625,4th & East Capitol St NE,38.893028,-77.026013,W00922,Member,NO
,,,,,,,31625,11th & Kenyon St NW,38.9086,-77.0323,,,
,,,,,,,31626,10th St & Constitution Ave NW,38.9319,-77.0388,,,
250,1/3/11 17:11,1/3/11 15:31,31500,5th & F St NW,38.897222,-77.019347,31700,14th & Rhode Island Ave NW,38.9154,-77.0446,W00812,Member,NO
,,,,,,,31700,Lamont & Mt Pleasant NW,38.933668,-76.991016,,,
424,1/4/11 7:18,1/3/11 20:34,31261,3rd & D St SE,38.8851,-77.0023,31701,20th St & Florida Ave NW,38.8743,-77.0057,W00129,Member,NO
,,,,,,,31701,12th & Newton St NE,38.91554,-77.03818,,,
832,1/4/11 8:03,1/4/11 0:03,31239,14th & Harvard St NW,38.9268,-77.0322,31702,New Hampshire Ave & T St NW,38.90534,-77.046774,W00872,Member,NO
,,,,,,,31702,21st & M St NW,38.9308,-77.0315,,,
1415,1/3/11 9:04,1/3/11 9:09,31402,14th & V St NW,38.9176,-77.0321,31703,Park Rd & Holmead Pl NW,38.903827,-77.053485,W01079,Member,NO
,,,,,,,31703,25th St & Pennsylvania Ave NW,38.90304,-77.019027,,,
357,1/3/11 17:55,1/3/11 17:19,31805,19th St & Pennsylvania Ave NW,38.9003,-77.0429,31705,5th & K St NW,38.898385,-77.031666,W00171,Member,NO
,,,,,,,31705,14th & G St NW,38.9308,-77.0315,,,
368,1/4/11 7:42,1/3/11 20:53,31019,Lamont & Mt Pleasant NW,38.9319,-77.0388,31706,Park Rd & Holmead Pl NW,38.9154,-77.0446,?(0x000000003EB026B9),Member,NO
,,,,,,,31706,20th St & Florida Ave NW,38.922925,-77.042581,,,
,,,,,,,31707,Adams Mill & Columbia Rd NW,38.884,-76.995397,W00784,Member,NO
265,1/3/11 18:31,1/3/11 18:19,31016,Park Rd & Holmead Pl NW,38.9308,-77.0315,31801,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.9308,-77.0315,W00318,Member,NO
,,,,,,,31801,Park Rd & Holmead Pl NW,38.9101,-77.0444,,,
211,1/3/11 18:47,1/3/11 18:43,31231,7th & T St NW,38.9155,-77.0222,31802,Massachusetts Ave & Dupont Circle NW,38.9249,-77.0222,W00706,Casual,NO
,,,,,,,31802,Georgia Ave and Fairmont St NW,38.90985,-77.034438,,,
277,1/3/11 18:24,1/3/11 18:00,31000,Ward Circle / American University,38.938736,-77.087171,31804,15th & P St NW,38.934267,-77.057979,W00550,Member,NO
,,,,,,,31804,Connecticut Ave & Newark St NW / Cleveland Park,38.922925,-77.042581,,,
1500,1/3/11 17:41,1/3/11 17:36,31209,15th & P St NW,38.90985,-77.034438,31805,Adams Mill & Columbia Rd NW,38.9121,-77.0387,W01085,Member,NO
,,,,,,,31805,17th & Corcoran St NW,38.9003,-77.0429,,,
